status_code,status_text,order_status
1,"Создан","Подтвержден"
2,"Удален","Отменен"
3,"Принят на склад отправителя","Отгружен"
12,"Принят на склад до востребования","Отгружен"
11,"Выдан на доставку","Отгружен"
18,"Возвращен на склад доставки","Отгружен"
4,"Вручен","Доставлен"
5,"Не вручен","Возврат идет"
6,"Выдан на отправку в г. отправителе",
16,"Возвращен на склад отправителя",
7,"Сдан перевозчику в г. отправителе",
21,"Отправлен в г. транзит",
22,"Встречен в г. транзите",
13,"Принят на склад транзита",
17,"Возвращен на склад транзита",
19,"Выдан на отправку в г. транзите",
20,"Сдан перевозчику в г. транзите",
27,"Отправлен в г. отправитель",
8,"Отправлен в г. получатель",
28,"Встречен в г. отправителе",
9,"Встречен в г. получателе",
10,"Принят на склад доставки",
